fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,mcc,fit_time_sec,threshold,n_features_kept
5,chb06,SVM,0.564873417721519,0.33544303797468356,0.7943037974683544,0.6153260695401379,106,251,65,210,632,0.5259436219255159,0.6030193147555695,0.14602773157071955,1417.5202956199646,0.2,184
5,chb06,XGB,0.5632911392405063,0.7056962025316456,0.4208860759493671,0.5726746514981574,223,133,183,93,632,0.524355106143684,0.601462393057375,0.13205132247626983,8.943346500396729,0.15,184
6,chb07,RF,0.4900459418070444,0.0015313935681470138,0.9785604900459418,0.4499013857587434,1,639,14,652,1306,0.46300248018096046,0.5171477914244,-0.09341886826048289,32.41358804702759,0.2,184
6,chb07,SVM,0.5505359877488515,0.7825421133231241,0.31852986217457885,0.5628234863710663,511,208,445,142,1306,0.5234480213105839,0.5773275228468167,0.11409877119218789,1522.765827178955,0.15,184
6,chb07,XGB,0.45252679938744256,0.0015313935681470138,0.9035222052067381,0.3995506661444763,1,590,63,652,1306,0.4257099943175862,0.4796220702618255,-0.2199079371126767,8.901381969451904,0.15,184
7,chb08,RF,0.6402604449267498,0.36950623982637004,0.9110146500271297,0.6521721849976255,681,1679,164,1162,3686,0.624628248270869,0.6556005832323585,0.33367723013254685,31.96903681755066,0.2,184
7,chb08,SVM,0.47558328811720024,0.16603364080303853,0.7851329354313619,0.44276609093256325,306,1447,396,1537,3686,0.459494673985909,0.4917227441276492,-0.06218341141317681,1519.8591232299805,0.15,184
7,chb08,XGB,0.619641888225719,0.3602821486706457,0.8790016277807922,0.6609879325181967,664,1620,223,1179,3686,0.603852243863183,0.6351824073803827,0.2798822330703275,8.91055154800415,0.15,184
8,chb09,RF,0.5197841726618705,0.7266187050359713,0.3129496402877698,0.5002798121215257,404,174,382,152,1112,0.49040134143757863,0.5490307786769609,0.04346128950402375,31.906164407730103,0.2,184
8,chb09,SVM,0.4433453237410072,0.6474820143884892,0.2392086330935252,0.4169265307178718,360,133,423,196,1112,0.41439104749442873,0.4726896994502989,-0.1241257025035922,1525.534200668335,0.15,184
8,chb09,XGB,0.6519784172661871,0.8974820143884892,0.4064748201438849,0.7859971015992961,499,226,330,57,1112,0.6235007623725938,0.6794096148709147,0.34891225334703335,9.50868558883667,0.15,184
9,chb10,RF,0.5421753607103219,0.1076581576026637,0.97669256381798,0.7598032030017209,97,880,21,804,1802,0.5191062223270625,0.5650650582548004,0.17049103413705965,32.11566185951233,0.2,184
9,chb10,SVM,0.6004439511653719,0.3462819089900111,0.8546059933407325,0.6354993403555796,312,770,131,589,1802,0.5776379584932183,0.6228225913135865,0.23327434753767445,1569.9733023643494,0.15,184
9,chb10,XGB,0.597669256381798,0.2586015538290788,0.9367369589345172,0.7770488087597821,233,844,57,668,1802,0.5748433558042852,0.6200796097537128,0.2657894713073416,8.852747678756714,0.15,184
10,chb11,RF,0.4563467492260062,0.001238390092879257,0.9114551083591331,0.16472677778949285,2,1472,143,1613,3230,0.4392311025789568,0.4735661104941883,-0.21081792156816961,32.67386054992676,0.2,184
10,chb11,SVM,0.5108359133126935,0.49907120743034056,0.5226006191950464,0.5324498461597447,806,844,771,809,3230,0.4935938527658159,0.5280522290954601,0.021677828239078725,1582.8313615322113,0.15,184
