fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,fit_time_sec,threshold,n_features_kept
9,chb10,SVM,0.5110987791342952,0.09988901220865705,0.9223085460599334,0.7674774975640581,90,831,70,811,1802,0.4880194078405497,0.5341309291546775,564.0913307666779,0.2,92
9,chb10,XGB,0.6570477247502775,0.413984461709212,0.9001109877913429,0.7921510320879132,373,811,90,528,1802,0.6348167610987647,0.6786105073836981,3.110626220703125,0.15,92
10,chb11,RF,0.48761609907120745,0.0,0.9752321981424149,0.15376721716876424,0,1575,40,1615,3230,0.4704028599252435,0.5048587608047268,15.659674406051636,0.2,92
10,chb11,SVM,0.4588235294117647,0.005572755417956657,0.9120743034055727,0.2952045931620163,9,1473,142,1606,3230,0.44169768139019383,0.4760472075369572,564.9329133033752,0.2,92
10,chb11,XGB,0.46253869969040246,0.001238390092879257,0.9238390092879257,0.10241946151118098,2,1492,123,1613,3230,0.445398349497067,0.47976805321109284,3.1293365955352783,0.15,92
11,chb12,RF,0.47605985037406484,0.13665835411471322,0.8154613466334164,0.5007552191839603,274,1635,370,1731,4010,0.4606320670581479,0.4915334593542547,17.090245723724365,0.15,92
11,chb12,SVM,0.528428927680798,0.29526184538653366,0.7615960099750624,0.5483663658808091,592,1527,478,1413,4010,0.512958298052648,0.5438451393326239,573.2381498813629,0.2,92
11,chb12,XGB,0.5199501246882793,0.16957605985037408,0.8703241895261845,0.5332810119340055,340,1745,260,1665,4010,0.5044749166784149,0.5353871446445829,3.113508462905884,0.15,92
12,chb13,RF,0.47921348314606743,0.060674157303370786,0.8977528089887641,0.4249924251988385,54,799,91,836,1780,0.45607506215356397,0.5024414339299447,16.84024477005005,0.2,92
12,chb13,SVM,0.498314606741573,0.24719101123595505,0.749438202247191,0.472665067541977,220,667,223,670,1780,0.47511516527702646,0.521521307378393,577.7633774280548,0.2,92
12,chb13,XGB,0.48089887640449436,0.12247191011235956,0.8393258426966292,0.4710831965660901,109,747,143,781,1780,0.4577537103321725,0.5041263130959165,3.1199700832366943,0.2,92
13,chb14,RF,0.5028901734104047,0.05202312138728324,0.953757225433526,0.5547378796485013,18,330,16,328,692,0.46572380267484587,0.540024632026385,16.73214888572693,0.2,92
13,chb14,SVM,0.5491329479768786,0.12427745664739884,0.9739884393063584,0.5800060142336864,43,337,9,303,692,0.5118894717432917,0.5858339181776328,569.5128266811371,0.25,92
13,chb14,XGB,0.5173410404624278,0.07803468208092486,0.9566473988439307,0.49130859701293056,27,331,15,319,692,0.4801164989903395,0.5543741092170458,3.2964158058166504,0.15,92
14,chb15,RF,0.5037462537462537,0.012737262737262738,0.9947552447552448,0.5977869221188402,51,3983,21,3953,8008,0.4927961316236035,0.5146927832845495,16.18760085105896,0.2,92
14,chb15,SVM,0.49712787212787213,0.30744255744255744,0.6868131868131868,0.48143976403217165,1231,2750,1254,2773,8008,0.4861807968304349,0.5080777017399812,564.7676763534546,0.1,92
14,chb15,XGB,0.5232267732267732,0.15684315684315683,0.8896103896103896,0.5282495663676983,628,3562,442,3376,8008,0.5122788171245902,0.534152455305958,3.3763725757598877,0.1,92
15,chb16,RF,0.5,0.0,1.0,0.35452242446988175,0,146,0,146,292,0.4430234098878125,0.5569765901121875,16.761495113372803,0.2,92
15,chb16,SVM,0.476027397260274,0.0,0.952054794520548,0.3063426534058923,0,139,7,146,292,0.41942677283327556,0.5332506058720857,575.2021934986115,0.2,92
15,chb16,XGB,0.4828767123287671,0.0,0.9657534246575342,0.31661662600863205,0,141,5,146,292,0.4261554612643762,0.5400426663823104,3.165203332901001,0.15,92
16,chb17,RF,0.6061120543293718,0.22750424448217318,0.9847198641765704,0.5762089928254559,134,580,9,455,1178,0.5779076856219527,0.6336265842835911,17.051058530807495,0.2,92
16,chb17,SVM,0.6052631578947368,0.2529711375212224,0.9575551782682513,0.7623810608178807,149,564,25,440,1178,0.5770511166324281,0.6327908791138714,569.2110075950623,0.2,92
16,chb17,XGB,0.6256366723259762,0.27843803056027167,0.9728353140916808,0.5702378927767416,164,573,16,425,1178,0.5976332020924187,0.6528233734757454,3.1366145610809326,0.15,92
