fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,mcc,fit_time_sec,threshold,n_features_kept
13,chb14,SVM,0.5459770114942529,0.12643678160919541,0.9655172413793104,0.6430175716739331,11,84,3,76,174,0.4718016460231129,0.6181660555720145,0.1690308509457033,514.0589814186096,0.05,92
13,chb14,XGB,0.5114942528735632,0.034482758620689655,0.9885057471264368,0.617915180340864,3,86,1,84,174,0.43777815324375147,0.5847137721550304,0.07669649888473704,2.5832011699676514,0.05,92
14,chb15,RF,0.5402184707050646,0.18669314796425024,0.8937437934458788,0.5733855070119885,188,900,107,819,2014,0.5183960864318625,0.5618877178072809,0.1137459841228389,12.152018308639526,0.05,92
14,chb15,SVM,0.4910625620655412,0.1618669314796425,0.82025819265144,0.48665202569106625,163,826,181,844,2014,0.4692666837471216,0.512892470866402,-0.023748437895256137,478.17468905448914,0.05,92
14,chb15,XGB,0.519364448857994,0.10427010923535253,0.9344587884806356,0.5406612500973819,105,941,66,902,2014,0.49752754646875696,0.5411276185352751,0.0694710534038792,2.5447494983673096,0.05,92
15,chb16,RF,0.5,0.0,1.0,0.3325401546698394,0,41,0,41,82,0.39422642728441165,0.6057735727155883,0.0,12.241470575332642,0.1,92
15,chb16,SVM,0.43902439024390244,0.0,0.8780487804878049,0.3932183224271267,0,36,5,41,82,0.33673363578460386,0.546772729427601,-0.25482359571881275,508.96374320983887,0.05,92
15,chb16,XGB,0.45121951219512196,0.0,0.9024390243902439,0.1552647233789411,0,37,4,41,82,0.3481109278812157,0.5586941642885482,-0.22645540682891918,2.621753215789795,0.05,92
16,chb17,RF,0.6241610738255033,0.2483221476510067,1.0,0.6112112067024007,37,149,0,112,298,0.5679173691369889,0.677244331569607,0.3765135483714759,12.634789228439331,0.1,92
16,chb17,SVM,0.6073825503355704,0.30201342281879195,0.912751677852349,0.7237962253952526,45,136,13,104,298,0.5509076899568899,0.6611240511947605,0.27122540144832413,510.68030643463135,0.05,92
16,chb17,XGB,0.6845637583892618,0.42953020134228187,0.9395973154362416,0.6528084320526102,64,140,9,85,298,0.6297382847677414,0.7346912703366578,0.42915087305247873,2.5836641788482666,0.05,92
17,chb18,RF,0.540625,0.0875,0.99375,0.7196875,14,159,1,146,320,0.4858632357523176,0.5944229288417309,0.19219753044818896,12.240904331207275,0.1,92
17,chb18,SVM,0.546875,0.4125,0.68125,0.5906640625,66,109,51,94,320,0.49209817623319324,0.6005397059907088,0.0973308036304761,521.1566970348358,0.05,92
17,chb18,XGB,0.55625,0.14375,0.96875,0.4972265625,23,155,5,137,320,0.5014665702122658,0.6096988884564167,0.19906827984171396,2.5927858352661133,0.05,92
18,chb19,RF,0.5,0.01680672268907563,0.9831932773109243,0.484782148153379,2,117,2,117,238,0.436982586783133,0.5630174132168669,0.0,12.424314260482788,0.1,92
18,chb19,SVM,0.5294117647058824,0.15126050420168066,0.907563025210084,0.48633571075489024,18,108,11,101,238,0.4660345384507384,0.5918545922860744,0.0899137059026982,514.9397311210632,0.05,92
18,chb19,XGB,0.5210084033613446,0.07563025210084033,0.9663865546218487,0.5301179295247511,9,115,4,110,238,0.4577120423755249,0.5836373367221986,0.09245003270420486,2.649846076965332,0.05,92
19,chb20,RF,0.5165562913907285,0.039735099337748346,0.9933774834437086,0.6910881101706066,6,150,1,145,302,0.46034129836762117,0.5723553655263685,0.11002971203391539,12.13415265083313,0.1,92
19,chb20,SVM,0.6059602649006622,0.26490066225165565,0.9470198675496688,0.7350116222972677,40,143,8,111,302,0.5498485595769593,0.6594100893445738,0.28980942240088736,538.7682740688324,0.05,92
19,chb20,XGB,0.5132450331125827,0.039735099337748346,0.9867549668874173,0.6887855795798429,6,149,2,145,302,0.45706070651973496,0.5690966245954565,0.08247860988423225,2.625033378601074,0.05,92
20,chb22,RF,0.5098039215686274,0.049019607843137254,0.9705882352941176,0.6591214917339485,5,99,3,97,204,0.44165887738292003,0.5775865479794712,0.05050762722761054,12.129568815231323,0.1,92
20,chb22,SVM,0.45098039215686275,0.19607843137254902,0.7058823529411765,0.48144944252210686,20,72,30,82,204,0.38423118104772797,0.5195416921403151,-0.11396057645963795,535.6639113426208,0.05,92
20,chb22,XGB,0.47058823529411764,0.00980392156862745,0.9313725490196079,0.4825067281814686,1,95,7,101,204,0.40327073066626384,0.5389929932465619,-0.15152288168283162,2.6227939128875732,0.05,92
